packet_id,tested_trajectories,tested_state_input_pairs,battery_max_discrepancy,unseen_max_discrepancy,approximate_fill_distance,certificate_upper_bound,packet_pass
C01,32,192,0.0,0.12,0.1273399777924038,0.18109929541041658,True
C02,64,512,0.0,0.14999999999999997,0.20994063591926704,0.6205508298485195,True
C03,96,960,0.0,0.18,0.223666186284053,1.0246855922810414,True
C04,128,1536,0.0,0.20000000000000007,0.2711767045298706,2.039260888964134,True
C05,48,432,0.0,0.14,0.12756435778112263,0.37550673198329626,True
