checkpoint,block,family,classification,fraction,block_nrmse_percent,all_node_nrmse_percent,decoder_nrmse_percent
008,Mi1,shunt,G1,0.25,0.009945746569428593,0.00413023226428777,0.009418363333679736
008,Mi1,shunt,G1,0.5,0.013893794675823301,0.005995566607452929,0.014749591355212033
008,Mi1,shunt,G1,1.0,0.01671443023951724,0.008741807687329128,0.027126484201289713
008,Mi1,timescale,G1,0.25,0.0494198699016124,0.019073074508924037,0.10318657150492072
008,Mi1,timescale,G1,0.5,0.07000761106610298,0.030285405227914453,0.1914597349241376
008,Mi1,timescale,G1,1.0,0.10164037812501192,0.05324285593815148,0.35944865085184574
008,Mi1,two_state,G0,,,,
008,T4a,shunt,G1,0.25,0.007488867413485423,0.00035479504276736407,0.005712821439374238
008,T4a,shunt,G1,0.5,0.010076392936753109,0.0004897614871879341,0.01036222092807293
008,T4a,shunt,G1,1.0,0.015793641796335578,0.0007969221769599244,0.02118330739904195
008,T4a,timescale,G1,0.25,0.10338579304516315,0.004734372487291694,0.09507396025583148
008,T4a,timescale,G1,0.5,0.14819070929661393,0.006964070780668408,0.18591275438666344
008,T4a,timescale,G1,1.0,0.2182133262977004,0.010574721090961248,0.37295313086360693
008,T4a,two_state,G1,0.25,0.10274340165778995,0.004841584450332448,0.11139250127598643
008,T4a,two_state,G1,0.5,0.15132257249206305,0.007416642620228231,0.2205654513090849
008,T4a,two_state,G1,1.0,0.23475405760109425,0.012031361984554678,0.4410502966493368
008,T5a,shunt,G1,0.25,0.0047905807150527835,0.0002818817847582977,0.0040177328628487885
008,T5a,shunt,G1,0.5,0.007480947533622384,0.00044304842958808877,0.008070120384218171
008,T5a,shunt,G1,1.0,0.012627443356905133,0.0007537784313171869,0.016168414731509984
008,T5a,timescale,G1,0.25,0.025707637541927397,0.001500581311120186,0.01338939182460308
008,T5a,timescale,G1,0.5,0.037589200655929744,0.002203496842412278,0.02620940504129976
008,T5a,timescale,G1,1.0,0.057605322217568755,0.0034044438507407904,0.0525325711350888
008,T5a,two_state,G0,,,,
009,Mi1,shunt,G1,0.25,0.007356059359153733,0.002653219780768268,0.012453144881874323
009,Mi1,shunt,G1,0.5,0.009858625708147883,0.0034768730984069407,0.01900735660456121
009,Mi1,shunt,G1,1.0,0.011904098937520757,0.004173863271716982,0.02899547398556024
009,Mi1,timescale,G1,0.25,0.04153672780375928,0.009766518633114174,0.11413614265620708
009,Mi1,timescale,G1,0.5,0.05967853940092027,0.01583690318511799,0.20980862900614738
009,Mi1,timescale,G1,1.0,0.0870745861902833,0.027986656641587615,0.40299887768924236
009,Mi1,two_state,G1,0.25,0.039033498615026474,0.008210241503547877,0.09601576020941138
009,Mi1,two_state,G1,0.5,0.0548637006431818,0.012086860078852624,0.18264082027599216
009,Mi1,two_state,G1,1.0,0.0777586770709604,0.019324501045048237,0.35671317018568516
009,T4a,shunt,G1,0.25,0.008393653115490451,0.00020835502709815046,0.004399480894790031
009,T4a,shunt,G1,0.5,0.011469073797343299,0.00030928931664675474,0.008170427463483065
009,T4a,shunt,G1,1.0,0.01809265959309414,0.0005366359800973441,0.016406601935159415
009,T4a,timescale,G1,0.25,0.12609967961907387,0.0029294385967659764,0.07362699252553284
009,T4a,timescale,G1,0.5,0.18222590442746878,0.004518400601227768,0.14167376793920994
009,T4a,timescale,G1,1.0,0.27289269492030144,0.007508711132686585,0.2816600725054741
009,T4a,two_state,G1,0.25,0.13484462397173047,0.0032605876185698435,0.09019469725899398
009,T4a,two_state,G1,0.5,0.1977425068616867,0.005252799019217491,0.17679451266303658
009,T4a,two_state,G1,1.0,0.3053185762837529,0.009124062489718199,0.35221350844949484
009,T5a,shunt,G1,0.25,0.006247704004636034,0.0003541249952832004,0.0045993241656105965
009,T5a,shunt,G1,0.5,0.008602775778854266,0.0005207727554079611,0.00909276059246622
009,T5a,shunt,G1,1.0,0.011800377978943288,0.0008109038390102796,0.018215435557067394
009,T5a,timescale,G1,0.25,0.03187863330822438,0.0017886251953314058,0.024913670495152473
009,T5a,timescale,G1,0.5,0.04498152993619442,0.0026841371436603367,0.04887644900009036
009,T5a,timescale,G1,1.0,0.06365980370901525,0.004245083255227655,0.09818094549700618
009,T5a,two_state,G0,,,,
